gameId,playId,def_a_max,def_s_max,def_dis_max
2022090800,1757,6.42,4.43,15.84
2022090800,1800,4.72,3.09,15.51
2022090800,1836,3.69,1.97,16.95
2022090800,1946,2.78,1.98,13.110000000000001
2022090800,1967,1.37,1.36,4.04
2022090800,1991,3.54,3.13,15.15
2022090800,2043,4.52,2.26,9.25
2022090800,2072,4.8,2.55,9.61
2022090800,2093,1.93,2.85,13.42
2022090800,2137,2.26,2.26,13.38
2022090800,2163,3.39,1.83,11.13
2022090800,2184,2.23,2.99,17.72
2022090800,2208,3.75,3.61,21.53
2022090800,2288,4.67,3.71,8.93
2022090800,2336,2.61,3.21,5.05
2022090800,2360,3.89,2.4,11.2
2022090800,2381,1.72,2.11,7.2
2022090800,2400,1.6,3.03,5.38
2022090800,2464,3.13,2.18,13.27
2022090800,2485,6.43,6.25,19.7
2022090800,2506,2.79,3.32,11.55
2022090800,2527,5.6,3.32,12.59
2022090800,2551,4.68,3.13,18.04
2022090800,2572,3.04,2.66,18.990000000000002
2022090800,2599,4.88,2.92,11.72
2022090800,2623,5.26,2.88,17.35
2022090800,2688,4.05,2.33,8.22
2022090800,2712,3.14,2.57,10.97
2022090800,2733,3.47,3.11,17.48
2022090800,2755,2.79,2.7,15.52
2022090800,2815,3.7,1.84,12.62
2022090800,2839,1.81,2.32,10.47
2022090800,2860,3.09,3.62,6.18
2022090800,2884,4.17,3.51,14.450000000000001
2022090800,2908,1.04,1.23,0.67
2022090800,2934,3.83,2.05,7.5600000000000005
2022090800,2958,5.29,3.74,18.97
2022090800,2979,3.79,2.24,11.620000000000001
2022090800,3047,2.26,2.72,13.39
2022090800,3092,4.4,3.07,13.620000000000001
2022090800,3121,3.72,2.5,12.98
2022090800,3145,1.93,2.59,5.6000000000000005
2022090800,3166,2.31,1.68,3.0
2022090800,3190,1.5,2.3,2.46
2022090800,3214,2.22,2.39,3.47
2022090800,3262,3.87,4.12,22.61
2022090800,3283,4.14,3.4,19.29
2022090800,3304,3.42,2.15,16.66
2022090800,3341,4.9,2.8,11.780000000000001
2022090800,3362,2.41,1.39,0.9500000000000001
2022090800,3407,1.15,1.25,1.89
2022090800,3431,1.12,1.6,3.54
2022090800,3455,2.43,4.31,7.36
2022090800,3489,1.05,0.84,0.09
2022090800,3513,2.7,2.64,10.59
2022090800,3537,1.58,2.94,4.49
2022090800,3576,3.54,2.71,13.68
2022090800,3617,1.82,2.56,1.0
2022090800,3636,4.23,3.37,13.38
2022090800,3674,4.19,4.1,19.41
2022090800,3696,3.31,3.29,20.64
2022091100,57,3.94,3.01,10.21
2022091100,78,4.34,2.71,12.43
2022091100,99,2.72,1.75,3.98
2022091100,121,3.37,2.36,9.7
2022091100,145,2.47,2.68,16.76
2022091100,166,3.95,4.22,15.5
2022091100,190,3.9,2.65,15.63
2022091100,212,2.62,2.13,12.01
2022091100,233,2.74,2.35,9.94
2022091100,301,4.29,4.48,21.490000000000002
2022091100,322,4.55,3.33,13.96
2022091100,348,3.3,3.26,14.1
2022091100,395,4.21,3.37,13.99
2022091100,419,2.34,1.8,11.790000000000001
2022091100,458,2.69,2.41,15.18
2022091100,501,6.03,3.8,15.3
2022091100,522,2.03,3.22,11.77
2022091100,546,5.04,5.19,18.07
2022091100,572,3.76,3.76,18.9
2022091100,594,1.81,1.65,6.45
2022091100,679,3.4,3.41,9.84
2022091100,719,4.34,3.74,21.89
2022091100,741,2.63,2.03,7.3500000000000005
2022091100,762,3.81,3.94,22.98
2022091100,783,2.37,4.14,14.19
2022091100,807,6.5,4.88,29.75
2022091100,828,4.13,4.35,24.45
2022091100,870,2.85,4.13,20.93
2022091100,914,4.32,3.15,11.36
2022091100,935,4.29,3.92,15.9
2022091100,956,3.33,4.58,9.05
2022091100,996,4.82,4.79,17.77
2022091100,1017,3.57,2.64,6.42
2022091100,1046,2.56,2.22,8.18
2022091100,1067,4.94,2.99,10.77
2022091100,1088,2.98,1.55,7.68
2022091100,1170,2.45,3.7,14.43
2022091100,1191,4.05,3.76,16.75
2022091100,1231,3.19,2.88,20.080000000000002
2022091100,1260,1.83,1.45,14.67
2022091100,1281,3.17,3.48,10.5
2022091100,1335,2.68,2.67,15.27
2022091100,1359,1.57,1.44,4.25
2022091100,1413,3.99,3.06,17.05
2022091100,1466,3.6,3.08,14.61
2022091100,1485,1.51,2.95,10.77
2022091100,1514,2.28,3.19,7.16
2022091100,1552,3.43,1.73,11.620000000000001
2022091100,1587,4.86,3.26,10.290000000000001
2022091100,1608,2.11,2.04,11.05
2022091100,1651,3.82,2.06,9.41
2022091100,1672,4.65,2.96,10.040000000000001
2022091100,1713,4.02,3.4,18.580000000000002
2022091100,1769,2.12,2.66,13.42
2022091100,1793,1.91,3.18,6.0
2022091100,1815,1.74,3.2,16.27
2022091100,1887,3.82,4.58,12.75
2022091100,1928,3.26,3.69,9.81
2022091100,1952,1.8,2.63,4.1
2022091100,2048,3.02,3.53,14.07
2022091100,2069,4.15,2.91,10.13
2022091100,2090,1.65,3.19,11.620000000000001
2022091100,2114,3.36,1.8,9.08
2022091100,2135,2.97,4.0,9.72
2022091100,2159,4.2,2.6,15.69
2022091100,2183,1.84,2.61,10.09
2022091100,2204,2.28,2.42,5.82
2022091100,2226,3.11,3.3,14.33
2022091100,2245,2.39,1.61,7.890000000000001
2022091100,2303,4.64,5.39,28.68
2022091100,2332,3.0,4.09,19.21
2022091100,2353,3.31,1.76,7.95
2022091100,2374,4.04,3.1,11.870000000000001
2022091100,2436,4.53,3.82,12.85
2022091100,2491,3.22,2.75,11.31
2022091100,2512,5.31,2.7,7.5
2022091100,2533,3.33,3.41,13.39
2022091100,2555,3.06,2.77,15.76
2022091100,2595,4.1,2.52,4.35
2022091100,2616,4.65,2.3,13.03
2022091100,2640,1.43,2.45,10.11
2022091100,2661,3.63,4.23,14.44
2022091100,2683,1.92,2.59,8.38
2022091100,2720,2.94,3.56,12.44
2022091100,2741,3.17,4.38,16.27
2022091100,2762,3.39,3.41,10.120000000000001
2022091100,2841,3.61,2.78,11.15
2022091100,2878,1.45,1.85,7.21
2022091100,2899,2.1,2.42,8.56
2022091100,2960,2.93,2.63,7.890000000000001
2022091100,2984,3.0,2.37,10.39
2022091100,3028,3.47,1.83,6.59
2022091100,3050,3.78,2.07,12.22
2022091100,3119,1.7,2.4,6.68
2022091100,3148,3.23,4.06,15.55
2022091100,3177,1.47,1.62,5.67
2022091100,3201,2.57,3.1,10.43
2022091100,3267,2.18,2.25,5.91
2022091100,3289,7.21,3.57,11.3
2022091100,3310,2.4,1.34,4.12
2022091100,3334,5.78,3.03,6.37
2022091100,3355,3.37,4.94,16.07
2022091100,3379,4.1,2.85,9.98
2022091100,3446,3.31,2.46,11.06
2022091100,3475,3.17,2.78,10.33
2022091100,3504,3.75,3.33,10.43
2022091100,3526,3.65,3.55,15.09
2022091100,3554,3.63,3.05,12.3
2022091100,3578,2.31,3.97,18.07
2022091100,3647,3.18,3.39,16.15
2022091100,3671,2.74,4.53,12.1
2022091100,3757,4.61,3.34,15.4
2022091100,3778,3.81,6.26,13.57
2022091100,3816,2.38,1.94,5.45
2022091100,3888,3.83,6.94,9.78
2022091100,3926,4.17,6.87,13.14
2022091100,3964,3.26,2.29,9.94
2022091100,4032,3.06,3.61,18.240000000000002
2022091100,4068,2.56,2.63,2.29
2022091100,4102,3.34,1.66,5.76
2022091100,4131,4.28,3.9,7.51
2022091100,4187,2.91,3.11,14.35
2022091100,4210,2.52,1.65,11.75
2022091100,4266,3.17,1.93,24.78
2022091100,4307,2.99,4.09,19.330000000000002
2022091101,63,3.19,1.96,12.21
2022091101,85,2.67,2.59,9.5
2022091101,109,3.35,2.9,21.61
2022091101,184,6.38,6.04,23.6
2022091101,213,3.51,5.79,23.31
2022091101,251,2.71,5.61,16.59
2022091101,272,3.43,4.43,17.13
2022091101,296,3.11,3.15,17.77
2022091101,317,3.89,4.12,25.0
2022091101,339,3.62,6.13,24.55
2022091101,361,3.48,2.15,13.63
2022091101,417,3.05,3.87,21.54
2022091101,438,2.5,2.03,11.23
2022091101,521,3.01,3.2,23.18
2022091101,542,3.01,2.31,8.46
2022091101,599,3.98,3.28,17.56
2022091101,620,5.8,6.06,36.09
2022091101,641,3.11,4.25,19.21
2022091101,686,2.63,3.16,19.94
2022091101,708,3.46,3.04,24.09
2022091101,748,3.33,4.43,11.21
2022091101,772,4.65,2.45,14.41
2022091101,850,2.86,3.92,15.95
2022091101,883,4.43,3.23,14.11
2022091101,993,2.73,3.2,19.54
2022091101,1014,3.64,4.91,17.95
2022091101,1036,3.6,5.2,30.330000000000002
2022091101,1101,2.32,2.28,3.99
2022091101,1122,4.52,2.86,10.88
2022091101,1144,1.8,3.01,16.89
2022091101,1166,4.26,4.29,31.17
2022091101,1192,5.75,2.85,13.97
2022091101,1213,3.24,2.85,14.0
2022091101,1276,4.26,5.07,21.54
2022091101,1338,2.52,2.6,16.06
2022091101,1357,3.47,3.06,18.34
2022091101,1384,5.52,2.07,18.830000000000002
2022091101,1438,2.69,2.69,18.51
2022091101,1468,3.28,2.55,14.76
2022091101,1492,3.15,3.82,22.47
2022091101,1516,3.33,6.25,27.53
2022091101,1537,3.96,5.71,33.2
2022091101,1564,2.67,3.61,22.02
2022091101,1590,2.11,2.11,11.48
2022091101,1616,3.72,7.75,25.39
2022091101,1669,3.54,2.16,11.3
2022091101,1691,2.88,5.25,28.54
2022091101,1720,3.11,1.79,9.540000000000001
2022091101,1744,3.06,4.51,15.33
2022091101,1785,2.73,2.28,8.34
2022091101,1826,3.78,2.74,12.97
2022091101,1879,3.72,3.45,16.12
2022091101,1901,2.22,2.76,16.66
2022091101,1945,4.45,6.53,20.56
2022091101,1980,3.62,3.42,14.59
2022091101,2027,4.11,2.58,20.01
2022091101,2089,3.17,4.19,23.96
2022091101,2199,3.48,3.69,20.94
2022091101,2227,3.05,1.85,7.49
2022091101,2298,4.15,2.54,17.86
2022091101,2320,3.65,3.43,18.830000000000002
2022091101,2341,3.24,3.52,26.52
2022091101,2365,5.74,3.37,15.73
2022091101,2386,1.93,2.26,3.5100000000000002
2022091101,2431,4.3,3.59,11.94
2022091101,2452,1.96,2.33,12.59
2022091101,2478,2.6,2.67,14.63
2022091101,2501,2.05,1.57,9.370000000000001
2022091101,2545,3.38,4.45,20.43
2022091101,2629,3.34,3.2,12.21
2022091101,2683,1.97,2.42,9.07
2022091101,2704,2.9,2.92,20.38
2022091101,2723,3.94,2.93,18.19
2022091101,2783,2.65,4.18,35.52
2022091101,2832,2.49,4.13,10.19
2022091101,2930,3.51,2.6,16.55
2022091101,2951,3.81,2.45,18.87
2022091101,2980,8.6,8.7,21.45
2022091101,3006,2.59,4.09,8.85
2022091101,3040,2.67,2.02,13.72
2022091101,3080,5.14,4.13,8.33
2022091101,3101,2.8,3.05,15.32
2022091101,3125,3.0,2.24,18.92
2022091101,3146,3.46,2.93,16.56
2022091101,3168,3.88,3.56,22.740000000000002
2022091101,3221,3.7,3.39,5.95
2022091101,3242,3.27,3.36,17.29
2022091101,3263,3.3,3.51,18.54
2022091101,3287,3.65,3.61,11.75
2022091101,3315,5.09,3.25,19.76
2022091101,3336,2.32,2.09,12.41
2022091101,3357,4.73,4.89,18.75
2022091101,3378,2.82,1.8,17.17
2022091101,3399,2.66,3.42,13.34
2022091101,3454,3.6,3.66,19.0
2022091101,3545,2.54,2.07,7.4
2022091101,3569,1.69,2.12,9.950000000000001
2022091101,3591,4.02,5.71,31.05
2022091101,3615,1.92,2.31,14.01
2022091101,3669,3.69,3.35,20.53
2022091101,3707,2.73,5.22,24.45
2022091101,3750,3.8,4.26,13.29
2022091101,3789,3.41,3.38,18.400000000000002
2022091101,3841,2.92,2.34,9.120000000000001
2022091101,3862,2.84,2.84,8.35
2022091101,3897,3.0,3.05,15.5
2022091101,3923,3.03,3.19,19.81
2022091101,3961,2.61,2.73,13.07
2022091101,4104,2.66,2.98,5.71
2022091101,4128,1.52,1.97,1.54
2022091101,4174,1.41,1.92,1.1099999999999999
2022091101,4242,3.13,3.94,19.35
2022091102,64,2.56,3.66,18.580000000000002
2022091102,86,2.33,2.66,8.64
2022091102,107,5.36,3.5,10.6
2022091102,145,2.61,3.32,13.89
2022091102,189,3.87,5.47,24.740000000000002
2022091102,218,2.63,2.12,7.1000000000000005
2022091102,239,3.41,5.32,24.76
2022091102,268,2.38,2.41,16.69
2022091102,322,2.99,1.78,4.98
2022091102,343,4.98,3.78,18.02
2022091102,364,3.18,3.36,17.61
2022091102,388,2.14,2.61,9.120000000000001
2022091102,467,3.74,3.06,15.58
2022091102,488,3.17,4.42,25.44
2022091102,531,2.77,1.97,6.4
2022091102,552,3.88,2.72,12.89
2022091102,574,3.41,3.74,18.36
2022091102,595,4.8,4.73,21.42
2022091102,698,3.97,4.62,12.35
2022091102,756,3.01,3.61,12.26
2022091102,800,2.71,2.6,6.15
2022091102,821,3.82,3.84,23.35
2022091102,900,3.32,2.83,11.3
2022091102,921,2.01,2.13,9.96
2022091102,942,3.75,3.15,12.7
2022091102,989,3.55,3.59,23.28
2022091102,1029,2.53,1.52,3.67
2022091102,1050,2.59,3.52,14.99
2022091102,1107,3.84,2.07,9.65
2022091102,1133,2.38,4.13,5.59
2022091102,1162,1.85,2.3,11.77
2022091102,1183,3.11,1.99,9.82
2022091102,1204,3.61,2.31,8.700000000000001
2022091102,1265,3.61,2.28,8.3
2022091102,1286,2.94,3.68,13.17
2022091102,1363,3.24,3.44,16.37
2022091102,1384,4.21,2.99,13.52
2022091102,1406,2.38,3.24,14.67
2022091102,1472,2.69,2.75,14.0
2022091102,1493,2.75,2.69,15.64
2022091102,1562,2.94,3.06,12.94
2022091102,1588,2.35,2.16,12.08
2022091102,1609,3.5,3.18,13.65
2022091102,1631,5.15,3.65,20.49
2022091102,1700,2.75,3.75,4.24
2022091102,1726,4.24,3.59,14.45
2022091102,1794,3.75,3.59,12.68
2022091102,1815,3.14,4.52,21.49
2022091102,1837,3.94,3.67,20.72
2022091102,1869,3.54,2.51,9.08
2022091102,1907,3.36,4.51,16.45
2022091102,1928,3.59,4.82,17.17
2022091102,1954,5.16,3.54,17.5
2022091102,1992,2.83,3.64,14.700000000000001
2022091102,2065,4.07,5.25,14.85
2022091102,2103,3.69,3.91,13.17
2022091102,2132,3.34,1.82,7.76
2022091102,2173,2.02,4.24,17.6
2022091102,2238,3.73,4.31,20.89
2022091102,2259,4.22,4.77,25.01
2022091102,2281,3.29,2.59,11.08
2022091102,2302,2.28,3.37,14.24
2022091102,2331,2.39,1.74,7.55
2022091102,2352,3.53,1.77,5.62
2022091102,2373,3.73,4.92,18.42
2022091102,2394,3.26,3.79,22.59
2022091102,2415,2.78,3.46,19.330000000000002
2022091102,2436,3.74,2.85,15.47
2022091102,2511,2.57,3.6,13.18
2022091102,2532,2.22,2.85,10.31
2022091102,2596,5.18,6.47,16.61
2022091102,2618,3.13,4.85,19.85
2022091102,2639,3.8,3.49,11.55
2022091102,2717,3.54,2.55,9.42
2022091102,2738,3.74,5.12,23.07
2022091102,2759,3.09,2.21,4.3100000000000005
2022091102,2783,3.84,2.21,12.360000000000001
2022091102,2804,6.56,5.08,25.19
2022091102,2837,1.98,2.88,15.83
2022091102,2894,2.04,2.62,7.38
2022091102,2923,4.24,3.66,11.46
2022091102,2945,3.02,3.46,13.69
2022091102,2966,4.16,5.14,14.93
2022091102,3022,3.36,2.1,4.65
2022091102,3043,3.93,3.05,14.780000000000001
2022091102,3064,4.65,5.05,19.330000000000002
2022091102,3096,4.28,3.17,12.42
2022091102,3119,3.85,3.89,19.64
2022091102,3148,3.19,3.99,13.73
2022091102,3231,3.23,2.26,12.63
2022091102,3315,3.82,2.28,10.27
2022091102,3336,3.35,2.32,11.74
2022091102,3360,3.83,2.17,9.88
2022091102,3381,3.83,3.46,13.65
2022091102,3402,3.16,2.94,16.330000000000002
2022091102,3449,3.21,4.92,24.05
2022091102,3470,5.03,2.96,11.65
2022091102,3502,3.68,3.83,12.120000000000001
2022091102,3523,3.35,3.26,12.21
2022091102,3628,2.98,3.0,12.5
2022091102,3652,4.27,2.93,11.59
2022091102,3673,1.72,2.31,9.15
2022091102,3695,2.27,2.47,12.68
2022091102,3739,4.22,3.9,17.11
2022091102,3783,3.28,3.58,17.17
2022091102,3828,1.91,1.14,1.33
2022091102,3859,2.35,1.86,10.23
2022091102,3899,4.4,2.2,6.92
2022091102,3921,3.17,5.4,21.51
2022091102,3943,4.56,4.93,26.27
2022091102,3981,5.4,4.58,16.61
2022091102,4019,3.03,3.92,15.32
2022091102,4080,1.64,1.79,3.56
2022091102,4102,3.07,2.34,11.39
2022091102,4166,2.2,2.69,8.77
2022091102,4189,1.71,1.45,2.09
2022091102,4231,1.28,0.92,0.49
2022091103,58,4.05,3.09,9.47
2022091103,82,2.4,3.6,13.53
2022091103,111,3.73,4.79,15.870000000000001
2022091103,176,5.36,3.91,21.13
2022091103,195,3.03,3.38,17.080000000000002
2022091103,253,1.79,3.45,14.870000000000001
2022091103,274,5.25,3.22,15.75
2022091103,295,2.87,1.75,7.7700000000000005
2022091103,319,4.24,2.17,13.93
2022091103,340,3.56,2.98,15.7
2022091103,364,3.42,2.23,14.040000000000001
2022091103,388,3.04,1.75,6.94
2022091103,412,3.43,2.35,13.24
2022091103,446,3.78,3.16,15.86
2022091103,499,2.75,1.81,8.07
2022091103,520,3.99,2.76,12.49
2022091103,541,2.73,4.89,15.91
2022091103,611,4.01,2.61,16.47
2022091103,632,3.55,5.07,22.72
2022091103,690,3.25,3.64,23.54
2022091103,719,2.24,1.95,7.7700000000000005
2022091103,743,3.3,4.13,10.07
2022091103,764,6.72,5.99,18.77
2022091103,796,1.73,1.09,2.15
2022091103,852,2.97,2.92,9.83
2022091103,881,3.08,2.48,2.87
2022091103,902,2.98,2.04,5.79
2022091103,926,3.51,3.49,16.31
2022091103,955,4.42,2.33,21.23
2022091103,995,3.29,4.16,22.23
2022091103,1016,3.29,3.09,12.98
2022091103,1037,3.66,2.92,5.69
2022091103,1058,2.29,2.06,7.680000000000001
2022091103,1084,3.73,3.49,10.51
2022091103,1105,2.88,2.11,7.57
2022091103,1126,6.79,4.76,14.05
2022091103,1150,3.77,5.31,24.44
2022091103,1171,5.4,4.72,32.56
2022091103,1228,1.6,1.22,2.14
2022091103,1249,5.01,3.66,8.09
2022091103,1315,2.19,4.4,17.32
2022091103,1336,2.09,3.14,13.0
2022091103,1363,6.01,4.97,23.46
2022091103,1384,1.76,1.64,2.97
2022091103,1405,2.58,4.19,20.73
2022091103,1429,3.38,2.04,9.22
2022091103,1471,3.52,2.37,3.52
2022091103,1493,5.54,4.74,22.17
2022091103,1514,3.9,3.07,12.48
2022091103,1565,3.17,4.34,21.55
2022091103,1589,3.74,2.16,9.27
2022091103,1610,4.28,2.34,13.5
2022091103,1648,3.46,4.1,19.95
2022091103,1672,4.44,4.1,7.68
2022091103,1700,6.39,4.49,11.65
2022091103,1772,4.28,4.77,18.56
2022091103,1798,1.81,1.76,8.67
2022091103,1926,2.82,2.61,13.01
2022091103,1947,4.09,4.1,14.38
2022091103,1968,2.66,2.34,7.07
2022091103,2008,2.95,2.67,5.2700000000000005
2022091103,2037,2.74,3.52,19.89
2022091103,2058,2.94,2.66,6.65
2022091103,2082,2.98,1.85,2.25
2022091103,2103,2.53,2.62,10.57
2022091103,2125,4.21,3.36,30.82
2022091103,2172,2.58,1.96,8.61
2022091103,2201,4.29,3.47,15.55
2022091103,2222,3.71,2.85,17.05
2022091103,2243,4.3,3.44,14.17
2022091103,2272,3.19,2.79,11.950000000000001
2022091103,2291,2.46,1.96,9.790000000000001
2022091103,2315,4.37,4.76,19.47
2022091103,2336,2.9,3.84,12.26
2022091103,2357,8.27,3.19,13.93
2022091103,2414,2.55,2.43,7.42
2022091103,2433,4.4,3.36,22.12
2022091103,2462,2.75,3.37,11.99
2022091103,2483,1.46,1.73,5.8100000000000005
2022091103,2511,2.15,2.92,3.58
2022091103,2569,3.75,3.34,26.28
2022091103,2670,5.46,5.31,14.85
2022091103,2719,4.61,4.27,15.95
2022091103,2740,3.18,1.73,3.46
2022091103,2780,1.48,1.44,4.5600000000000005
2022091103,2807,4.1,2.61,14.61
2022091103,2829,1.75,1.55,4.5600000000000005
2022091103,2851,3.28,3.5,15.1
2022091103,2907,2.07,2.65,6.0200000000000005
2022091103,2931,3.07,1.98,5.84
2022091103,2955,3.25,1.58,9.72
2022091103,2976,3.76,3.19,7.12
2022091103,3011,3.88,2.74,10.83
2022091103,3032,4.24,2.61,9.84
2022091103,3054,2.74,2.46,10.78
2022091103,3079,3.89,3.77,9.03
2022091103,3105,4.2,3.19,11.32
2022091103,3126,2.62,2.63,5.94
2022091103,3147,1.04,0.82,0.08
2022091103,3171,3.08,2.21,10.21
2022091103,3227,2.06,1.83,3.41
2022091103,3251,2.33,1.41,6.51
2022091103,3272,3.42,3.29,8.61
2022091103,3294,3.34,3.73,11.63
2022091103,3367,1.71,1.48,3.16
2022091103,3389,1.43,3.12,14.81
2022091103,3413,3.36,3.38,16.91
2022091103,3435,4.03,1.85,5.79
2022091103,3464,1.88,1.28,0.86
2022091103,3505,3.69,5.87,25.05
2022091103,3527,3.36,5.77,12.07
2022091103,3568,4.57,2.3,3.47
2022091103,3613,3.24,4.73,6.91
2022091103,3658,2.63,3.86,4.11
2022091103,3680,4.73,5.13,14.65
2022091103,3755,1.84,2.68,8.43
2022091103,3779,1.73,3.61,11.42
2022091103,3803,1.95,3.36,12.89
2022091103,3825,4.01,2.88,11.68
2022091103,3849,5.53,3.04,17.47
2022091103,3890,4.6,3.85,17.1
2022091103,3945,1.83,4.35,14.17
2022091103,4008,1.52,1.19,1.25
2022091103,4154,3.24,2.83,9.93
2022091103,4175,3.01,3.05,4.75
2022091103,4199,4.25,3.95,11.02
2022091103,4279,4.52,2.46,5.04
2022091103,4300,2.41,3.47,12.25
2022091103,4324,3.1,3.5,14.01
2022091103,4353,4.08,3.91,22.650000000000002
2022091103,4434,3.59,3.69,17.56
2022091103,4462,3.67,2.59,7.73
2022091103,4488,4.01,2.02,9.22
2022091103,4540,2.82,4.42,14.26
2022091103,4631,2.9,3.27,5.64
2022091103,4657,1.62,2.31,12.52
2022091103,4686,3.08,2.15,9.62
2022091103,4710,1.7,1.74,7.25
2022091103,4827,0.84,1.16,0.22
2022091103,4872,2.47,2.76,7.3500000000000005
2022091103,4921,5.37,3.25,21.51
2022091103,4947,1.69,1.27,3.57
2022091103,4993,4.56,3.01,36.62
2022091103,5015,1.72,2.07,4.74
2022091103,5039,2.29,3.68,7.44
2022091103,5074,3.03,2.85,4.07
2022091103,5096,1.26,0.73,0.98
2022091103,5120,2.67,5.65,22.41
2022091104,58,6.5,7.32,23.19
2022091104,86,4.15,4.46,24.97
2022091104,107,3.51,4.01,23.45
2022091104,128,2.24,2.81,14.290000000000001
2022091104,149,3.97,2.53,7.92
2022091104,217,1.84,3.1,13.950000000000001
2022091104,238,3.24,2.78,15.11
2022091104,267,2.9,1.91,10.030000000000001
2022091104,288,5.66,3.15,12.82
2022091104,343,5.17,4.23,16.96
2022091104,369,2.16,3.93,16.42
2022091104,390,4.83,2.78,15.41
2022091104,412,3.21,4.45,26.11
2022091104,462,3.79,3.69,20.830000000000002
2022091104,488,4.7,4.85,39.77
2022091104,536,3.88,3.79,17.23
2022091104,558,2.79,5.57,18.98
2022091104,580,4.34,2.05,11.0
2022091104,604,2.38,1.94,11.68
2022091104,625,1.91,1.9,8.68
2022091104,689,2.46,4.9,25.34
2022091104,713,3.7,4.4,25.61
2022091104,777,2.86,3.13,17.76
2022091104,803,4.46,4.03,20.240000000000002
2022091104,865,4.56,4.13,9.75
2022091104,889,4.13,3.48,17.6
2022091104,910,3.02,3.07,23.02
2022091104,953,1.83,3.01,12.67
2022091104,977,2.37,3.93,10.94
2022091104,999,3.64,4.09,21.96
2022091104,1020,4.62,3.4,21.17
2022091104,1041,2.41,4.5,11.48
2022091104,1094,2.71,3.03,16.44
2022091104,1115,2.48,2.49,16.94
2022091104,1136,3.86,5.2,30.8
2022091104,1183,3.77,4.65,23.34
2022091104,1207,2.54,4.1,15.14
2022091104,1228,2.88,5.39,19.35
2022091104,1273,3.81,4.47,23.62
2022091104,1325,2.55,2.32,10.75
2022091104,1347,1.41,2.4,11.27
2022091104,1380,3.12,3.42,7.46
2022091104,1436,1.56,2.79,4.84
2022091104,1460,5.45,3.9,16.84
2022091104,1481,3.1,1.61,7.5
2022091104,1502,3.13,2.98,15.56
2022091104,1528,3.71,3.6,20.490000000000002
2022091104,1557,4.2,4.66,13.120000000000001
2022091104,1634,4.95,4.04,19.01
2022091104,1660,4.19,4.76,22.57
2022091104,1713,3.77,2.44,8.41
2022091104,1768,2.83,3.48,15.1
2022091104,1826,3.16,2.3,10.02
2022091104,1847,2.22,2.95,12.99
2022091104,1871,3.43,2.47,17.73
2022091104,1895,3.54,2.01,10.08
2022091104,1917,4.18,2.93,12.86
2022091104,1938,2.78,2.56,10.65
2022091104,1962,3.55,3.81,15.85
2022091104,1986,4.71,5.06,13.63
2022091104,2007,3.3,4.21,12.34
2022091104,2047,2.46,2.23,4.93
2022091104,2109,2.57,2.89,8.370000000000001
2022091104,2130,2.95,1.9,5.32
2022091104,2154,3.53,3.34,15.94
2022091104,2190,4.5,3.46,15.110000000000001
2022091104,2228,5.02,2.57,5.24
2022091104,2269,2.92,3.41,13.42
2022091104,2307,3.89,1.96,6.42
2022091104,2329,4.02,2.96,13.690000000000001
2022091104,2385,2.01,2.34,7.37
2022091104,2447,5.16,3.31,15.6
2022091104,2468,3.21,3.7,16.62
